server_timestamp_ms,client_id,snapshot_id,seq_num,cpu_percent,recv_time_ms,latency_ms
1765121804619,1,353,,,1765121804629,10
1765121804619,2,353,,,1765121804629,10
1765121804645,1,354,354,,,
1765121804645,2,354,354,,,
1765121804645,2,354,,,1765121804660,15
1765121804645,1,354,,,1765121804660,15
1765121804671,1,355,355,,,
1765121804671,2,355,355,,,
1765121804671,2,355,,,1765121804675,4
1765121804671,1,355,,,1765121804676,5
1765121804697,1,356,356,,,
1765121804697,2,356,356,,,
1765121804697,2,356,,,1765121804707,10
1765121804697,1,356,,,1765121804707,10
1765121804722,1,357,357,,,
1765121804722,2,357,357,,,
1765121804722,2,357,,,1765121804739,17
1765121804722,1,357,,,1765121804739,17
1765121804748,1,358,358,,,
1765121804748,2,358,358,,,
1765121804748,2,358,,,1765121804755,7
1765121804748,1,358,,,1765121804755,7
1765121804774,1,359,359,,,
1765121804774,2,359,359,,,
1765121804774,2,359,,,1765121804787,13
1765121804774,1,359,,,1765121804787,13
1765121804799,1,360,360,,,
1765121804799,2,360,360,,,
1765121804799,2,360,,,1765121804803,4
1765121804799,1,360,,,1765121804803,4
1765121804825,1,361,361,,,
1765121804825,2,361,361,,,
1765121804825,1,361,,,1765121804834,9
1765121804825,2,361,,,1765121804834,9
1765121804850,1,362,362,,,
1765121804850,2,362,362,,,
1765121804850,1,362,,,1765121804864,14
1765121804850,2,362,,,1765121804865,15
1765121804876,1,363,363,,,
1765121804876,2,363,363,,,
1765121804876,2,363,,,1765121804881,5
1765121804876,1,363,,,1765121804881,5
1765121804902,1,364,364,,,
1765121804902,2,364,364,,,
1765121804902,1,364,,,1765121804914,12
1765121804902,2,364,,,1765121804914,12
1765121804927,1,365,365,,,
1765121804927,2,365,365,,,
1765121804927,2,365,,,1765121804930,3
1765121804927,1,365,,,1765121804930,3
1765121804952,1,366,366,,,
1765121804952,2,366,366,,,
1765121804952,1,366,,,1765121804962,10
1765121804952,2,366,,,1765121804962,10
1765121804979,1,367,367,,,
1765121804979,2,367,367,,,
1765121804979,2,367,,,1765121804994,15
1765121804979,1,367,,,1765121804995,16
1765121805004,1,368,368,,,
1765121805004,2,368,368,,,
1765121805004,2,368,,,1765121805010,6
1765121805004,1,368,,,1765121805010,6
1765121805030,1,369,369,,,
1765121805030,2,369,369,,,
1765121805056,1,370,370,,,
1765121805056,2,370,370,,,
1765121805030,2,369,,,1765121805057,27
1765121805056,2,370,,,1765121805057,1
1765121805030,1,369,,,1765121805058,28
1765121805056,1,370,,,1765121805058,2
1765121805082,1,371,371,,,
1765121805082,2,371,371,,,
1765121805082,2,371,,,1765121805090,8
1765121805082,1,371,,,1765121805090,8
1765121805107,1,372,372,,,
1765121805107,2,372,372,,,
1765121805107,1,372,,,1765121805122,15
1765121805107,2,372,,,1765121805122,15
1765121805133,1,373,373,,,
1765121805133,2,373,373,,,
1765121805133,2,373,,,1765121805138,5
1765121805133,1,373,,,1765121805138,5
1765121805158,1,374,374,,,
1765121805158,2,374,374,,,
1765121805158,2,374,,,1765121805171,13
1765121805158,1,374,,,1765121805171,13
1765121805184,1,375,375,,,
1765121805184,2,375,375,,,
1765121805184,2,375,,,1765121805187,3
1765121805184,1,375,,,1765121805187,3
1765121805210,1,376,376,,,
1765121805210,2,376,376,,,
1765121805210,1,376,,,1765121805219,9
1765121805210,2,376,,,1765121805219,9
1765121805236,1,377,377,,,
1765121805236,2,377,377,,,
1765121805236,1,377,,,1765121805251,15
1765121805236,2,377,,,1765121805252,16
1765121805261,1,378,378,,,
1765121805261,2,378,378,,,
1765121805261,1,378,,,1765121805267,6
1765121805261,2,378,,,1765121805283,22
1765121805287,1,379,379,,,
1765121805287,2,379,379,,,
1765121805287,1,379,,,1765121805299,12
1765121805287,2,379,,,1765121805299,12
1765121805312,1,380,380,,,
1765121805312,2,380,380,,,
1765121805312,1,380,,,1765121805315,3
1765121805312,2,380,,,1765121805315,3
1765121805338,1,381,381,,,
1765121805338,2,381,381,,,
1765121805338,2,381,,,1765121805346,8
1765121805338,1,381,,,1765121805346,8
1765121805363,1,382,382,,,
1765121805363,2,382,382,,,
1765121805363,2,382,,,1765121805376,13
1765121805363,1,382,,,1765121805376,13
1765121805389,1,383,383,,,
1765121805389,2,383,383,,,
1765121805389,2,383,,,1765121805392,3
1765121805389,1,383,,,1765121805393,4
1765121805414,1,384,384,,,
1765121805414,2,384,384,,,
1765121805414,1,384,,,1765121805424,10
1765121805414,2,384,,,1765121805424,10
1765121805440,1,385,385,,,
1765121805440,2,385,385,,,
1765121805440,1,385,,,1765121805440,0
1765121805440,2,385,,,1765121805456,16
1765121805466,1,386,386,,,
1765121805466,2,386,386,,,
1765121805466,1,386,,,1765121805471,5
1765121805466,2,386,,,1765121805471,5
1765121805491,1,387,387,,,
1765121805491,2,387,387,,,
1765121805491,1,387,,,1765121805503,12
1765121805491,2,387,,,1765121805503,12
1765121805517,1,388,388,,,
1765121805517,2,388,388,,,
1765121805517,2,388,,,1765121805518,1
1765121805517,1,388,,,1765121805519,2
1765121805542,1,389,389,,,
1765121805542,2,389,389,,,
1765121805542,2,389,,,1765121805549,7
1765121805542,1,389,,,1765121805549,7
1765121805567,1,390,390,,,
1765121805567,2,390,390,,,
1765121805567,2,390,,,1765121805581,14
1765121805567,1,390,,,1765121805581,14
1765121805593,1,391,391,,,
1765121805593,2,391,391,,,
1765121805593,2,391,,,1765121805597,4
1765121805593,1,391,,,1765121805597,4
1765121805619,1,392,392,,,
1765121805619,2,392,392,,,
1765121805619,2,392,,,1765121805628,9
1765121805619,1,392,,,1765121805628,9
1765121805645,1,393,393,,,
1765121805645,2,393,393,,,
1765121805645,2,393,,,1765121805647,2
1765121805645,1,393,,,1765121805647,2
1765121805672,1,394,394,,,
1765121805672,2,394,394,,,
1765121805672,2,394,,,1765121805677,5
1765121805672,1,394,,,1765121805677,5
1765121805698,1,395,395,,,
1765121805698,2,395,395,,,
1765121805698,2,395,,,1765121805709,11
1765121805698,1,395,,,1765121805710,12
1765121805724,1,396,396,,,
1765121805724,2,396,396,,,
1765121805724,2,396,,,1765121805725,1
1765121805724,1,396,,,1765121805725,1
1765121805750,1,397,397,,,
1765121805750,2,397,397,,,
1765121805750,2,397,,,1765121805757,7
1765121805750,1,397,,,1765121805757,7
1765121805776,1,398,398,,,
1765121805776,2,398,398,,,
1765121805776,2,398,,,1765121805788,12
1765121805776,1,398,,,1765121805788,12
1765121805801,1,399,399,,,
1765121805801,2,399,399,,,
1765121805801,2,399,,,1765121805805,4
1765121805801,1,399,,,1765121805805,4
1765121805827,1,400,400,,,
1765121805827,2,400,400,,,
1765121805827,2,400,,,1765121805837,10
1765121805827,1,400,,,1765121805837,10
1765121805852,1,401,401,,,
1765121805852,2,401,401,,,
1765121805852,1,401,,,1765121805853,1
1765121805852,2,401,,,1765121805853,1
1765121805878,1,402,402,,,
1765121805878,2,402,402,,,
1765121805878,2,402,,,1765121805884,6
1765121805878,1,402,,,1765121805884,6
1765121805904,1,403,403,,,
1765121805904,2,403,403,,,
1765121805904,2,403,,,1765121805916,12
1765121805904,1,403,,,1765121805916,12
1765121805929,1,404,404,,,
1765121805929,2,404,404,,,
1765121805929,2,404,,,1765121805932,3
1765121805929,1,404,,,1765121805932,3
1765121805955,1,405,405,,,
1765121805955,2,405,405,,,
1765121805955,2,405,,,1765121805964,9
1765121805955,1,405,,,1765121805964,9
1765121805980,1,406,406,,,
1765121805980,2,406,406,,,
1765121805980,2,406,,,1765121805995,15
1765121805980,1,406,,,1765121805995,15
1765121806006,1,407,407,,,
1765121806006,2,407,407,,,
1765121806006,2,407,,,1765121806010,4
1765121806006,1,407,,,1765121806010,4
1765121806032,1,408,408,,,
1765121806032,2,408,408,,,
1765121806032,2,408,,,1765121806042,10
1765121806032,1,408,,,1765121806042,10
1765121806057,1,409,409,,,
1765121806057,2,409,409,,,
1765121806057,1,409,,,1765121806073,16
1765121806057,2,409,,,1765121806073,16
1765121806083,1,410,410,,,
1765121806083,2,410,410,,,
1765121806083,2,410,,,1765121806090,7
1765121806083,1,410,,,1765121806090,7
1765121806109,1,411,411,,,
1765121806109,2,411,411,,,
1765121806109,2,411,,,1765121806121,12
1765121806109,1,411,,,1765121806121,12
1765121806134,1,412,412,,,
1765121806134,2,412,412,,,
1765121806134,2,412,,,1765121806138,4
1765121806134,1,412,,,1765121806138,4
1765121806160,1,413,413,,,
1765121806160,2,413,413,,,
1765121806160,2,413,,,1765121806170,10
1765121806160,1,413,,,1765121806170,10
1765121806186,1,414,414,,,
1765121806186,2,414,414,,,
1765121806186,1,414,,,1765121806186,0
1765121806186,2,414,,,1765121806186,0
1765121806212,1,415,415,,,
1765121806212,2,415,415,,,
1765121806212,2,415,,,1765121806218,6
1765121806212,1,415,,,1765121806219,7
1765121806237,1,416,416,,,
1765121806237,2,416,416,,,
1765121806237,2,416,,,1765121806251,14
1765121806237,1,416,,,1765121806251,14
1765121806263,1,417,417,,,
1765121806263,2,417,417,,,
1765121806263,2,417,,,1765121806268,5
1765121806263,1,417,,,1765121806268,5
1765121806289,1,418,418,,,
1765121806289,2,418,418,,,
1765121806289,1,418,,,1765121806300,11
1765121806289,2,418,,,1765121806300,11
1765121806314,1,419,419,,,
1765121806314,2,419,419,,,
1765121806314,2,419,,,1765121806316,2
1765121806314,1,419,,,1765121806316,2
1765121806340,1,420,420,,,
1765121806340,2,420,420,,,
1765121806340,2,420,,,1765121806348,8
1765121806340,1,420,,,1765121806348,8
1765121806366,1,421,421,,,
1765121806366,2,421,421,,,
1765121806366,1,421,,,1765121806380,14
1765121806366,2,421,,,1765121806380,14
1765121806392,1,422,422,,,
1765121806392,2,422,422,,,
1765121806392,2,422,,,1765121806397,5
1765121806392,1,422,,,1765121806397,5
1765121806418,1,423,423,,,
1765121806418,2,423,423,,,
1765121806418,1,423,,,1765121806428,10
1765121806418,2,423,,,1765121806428,10
1765121806444,1,424,424,,,
1765121806444,2,424,424,,,
1765121806444,2,424,,,1765121806444,0
1765121806444,1,424,,,1765121806444,0
1765121806469,1,425,425,,,
1765121806469,2,425,425,,,
1765121806469,1,425,,,1765121806476,7
1765121806469,2,425,,,1765121806476,7
1765121806495,1,426,426,,,
1765121806495,2,426,426,,,
1765121806495,2,426,,,1765121806508,13
1765121806495,1,426,,,1765121806508,13
1765121806520,1,427,427,,,
1765121806520,2,427,427,,,
1765121806520,2,427,,,1765121806524,4
1765121806520,1,427,,,1765121806524,4
1765121806546,1,428,428,,,
1765121806546,2,428,428,,,
1765121806546,1,428,,,1765121806556,10
1765121806546,2,428,,,1765121806556,10
1765121806571,1,429,429,,,
1765121806571,2,429,429,,,
1765121806571,1,429,,,1765121806572,1
1765121806571,2,429,,,1765121806587,16
1765121806597,1,430,430,,,
1765121806597,2,430,430,,,
1765121806597,1,430,,,1765121806603,6
1765121806597,2,430,,,1765121806603,6
1765121806622,1,431,431,,,
1765121806622,2,431,431,,,
1765121806622,2,431,,,1765121806636,14
1765121806622,1,431,,,1765121806637,15
1765121806648,1,432,432,,,
1765121806648,2,432,432,,,
1765121806648,1,432,,,1765121806653,5
1765121806648,2,432,,,1765121806653,5
1765121806673,1,433,433,,,
1765121806673,2,433,433,,,
1765121806673,1,433,,,1765121806683,10
1765121806673,2,433,,,1765121806683,10
1765121806700,1,434,434,,,
1765121806700,2,434,434,,,
1765121806700,2,434,,,1765121806713,13
1765121806700,1,434,,,1765121806714,14
1765121806725,1,435,435,,,
1765121806725,2,435,435,,,
1765121806725,2,435,,,1765121806729,4
1765121806725,1,435,,,1765121806744,19
1765121806752,1,436,436,,,
1765121806752,2,436,436,,,
